name,address,postal_code,country,region,latitude,longitude,check_in,check_out,price,currency,rating,num_reviews,availability,stars,type,persons,room_type,nota_personal,nota_facilităţi,nota_curăţenie,nota_confort,nota_raport_calitate/preţ,nota_locaţie,nota_wifi_gratuit,vedere_la_oras,menaj_zilnic,canale_prin_satelit,zona_de_luat_masa_in_aer_liber,cada,facilitati_de_calcat,izolare_fonica,terasa_la_soare,pardoseala_de_gresie/marmura,papuci_de_casa,uscator_de_rufe,animale_de_companie,incalzire,birou,mobilier_exterior,alarma_de_fum,vedere_la_gradina,cuptor,cuptor_cu_microunde,zona_de_relaxare,canapea,intrare_privata,fier_de_calcat,masina_de_cafea,plita_de_gatit,extinctoare,cana_fierbator,gradina,ustensile_de_bucatarie,masina_de_spalat,balcon,pardoseala_de_lemn_sau_parchet,aparat_pentru_prepararea_de_ceai/cafea,zona_de_luat_masa,canale_prin_cablu,aer_conditionat,masa,suport_de_haine,cada_sau_dus,frigider,mic_dejun
Alice Apartments,"361 Bulevardul Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2361514,28.6225357,De la 14:00 la 22:00,,550.0, lei,9.3,11,,3.0,apartment,3.0,Apartament cu vedere la lac,0.0,9.0,9.3,9.5,8.6,9.5,10.0,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False
Crazy SeaView Mamaia Nord,"2a Aleea Itaca Etaj 2, 900001 Mamaia, România",900001.0,România,Constanţa,44.2665916,28.6200979,De la 14:00 la 20:00,,350.0, lei,9.7,11,,4.0,apartment,3.0,Apartament cu 1 dormitor,0.0,9.8,9.3,9.8,9.8,9.8,0.0,True,False,True,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,False,True,False,True,True,True,False,True,False,True,True,False,True,False,False,False
Studio Premium - Blue Marina - Sea View,"2 Aleea Itaca bloc V1-3, etaj 8, ap.38, 900001 Mamaia, România",900001.0,România,Constanţa,44.2663129,28.6200358,De la 14:00 la 00:00,,500.0, lei,10.0,4,,3.0,apartment,3.0,Studio cu vedere la mare,0.0,9.4,10.0,9.4,9.4,10.0,0.0,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,False
Hotel Condor,"Mamaia, 905504 Mamaia, România",905504.0,România,Constanţa,44.2364885,28.6235717,De la 18:00 la 00:00,,475.0, lei,8.1,426,,4.0,hotel,2.0,Cameră dublă sau twin,0.0,7.9,8.6,8.5,7.5,8.6,7.8,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False
Blue Apartment Mamaia Nord,"Bulevardul Mamaia Nord 183-187 bl. C2, sc. 1, ap. 325 (Bel Air Apartments), 905701 Mamaia, România",905701.0,România,Constanţa,44.2735947,28.6179781,De la 15:00 la 21:00,,494.0, lei,10.0,1,,3.0,apartment,4.0,Apartament cu 1 dormitor,0.0,10.0,10.0,10.0,10.0,10.0,0.0,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,True,True,False,True,False,True,True,True,True,True,False,False
Ambition Summerland Mamaia,"Aleea Argos Nr 5, Bl.12, ap. 18, 900001 Mamaia, România",900001.0,România,Constanţa,44.2673883,28.6219857,De la 15:00,,559.0, lei,8.8,5,,3.0,apartment,2.0,Apartament cu 1 dormitor,0.0,9.0,9.0,9.0,9.0,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False
"Zeita din Bel-Air, Mamaia Nord","Bulevardul Mamaia Nord, 905700 Mamaia, România",905700.0,România,Constanţa,44.2734846,28.6193414,De la 15:00 la 23:30,,931.0, lei,9.8,58,,3.0,apartment,2.0,Apartament cu vedere la mare,0.0,9.9,9.9,9.9,9.5,9.6,9.6,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,True,True,True,False,True,False
Blue Luxury Apartment Lake On,"341 Bulevardul Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2264991,28.6271088,De la 16:00 la 23:00,,600.0, lei,9.9,13,,4.0,apartment,2.0,Apartament cu 1 dormitor,0.0,10.0,10.0,10.0,9.8,9.6,10.0,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,False,True,False,False
View Lake Astoria,"46 Bulevardul Mamaia Nord 24, 905700 Mamaia, România",905700.0,România,Constanţa,44.2780058,28.6166578,De la 15:00 la 18:00,,465.0, lei,7.7,3,,3.0,apartment,2.0,Apartament cu 1 dormitor,0.0,7.5,7.5,7.5,7.5,9.2,0.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False
Red Luxury Apartment Lake On,"341 Bulevardul Mamaia 1, 900001 Mamaia, România",900001.0,România,Constanţa,44.2264685,28.6272583,De la 16:00 la 23:00,,600.0, lei,9.6,19,,3.0,apartment,2.0,Apartament cu 1 dormitor,0.0,9.6,9.6,9.7,9.2,9.5,0.0,False,False,False,True,True,True,True,True,True,False,True,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,False,True,True,True,False,False
